floc_ID,area,edgewidth
0,1192.2024999999999,22.28874387650583
1,2551.3675,37.44732387053312
2,231.04,36.57257431466057
3,1159.7124999999999,7.972803867082511
4,1288.77,7.554508084234361
5,4430.3724999999995,14.74452977461286
6,2338.3775,48.70116868989096
7,3235.4625,15.870612526957117
8,3.61,146.85368175727544
9,6277.79,16.98076290966598
10,3422.2799999999997,19.464723144930304
11,4079.2999999999997,6.465706791669458
12,3769.7425,24.077018261903337
13,6195.662499999999,19.492752202223848
14,2319.4249999999997,32.67899261131223
15,105.5925,67.59740780398955
