floc_ID,area,edgewidth
0,117.325,3.1388301522474724
1,144.4,6.904967848575459
2,28.88,4.441228429496843
3,144.4,5.902557716491606
4,101.9825,3.232817887261669
5,320.3875,7.418918689368307
6,103.7875,5.3535162823202525
7,14.44,6.60800608106538
8,57.76,3.4021338355285415
9,133.57,4.307155625356708
10,309.5575,2.960056519988161
11,14.44,6.7049726066556845
12,57.76,2.853729115985923
13,189.525,2.8306784317803246
14,814.9575,4.385382852114411
15,57.76,2.8504628074546923
16,59.565,3.4245037481731324
17,28.88,4.739833520806633
18,57.76,2.238792861538406
19,115.52,8.402098004493503
20,28.88,6.0069306875818835
21,101.9825,2.3447970110521825
22,132.6675,4.465370851357267
23,57.76,3.3253108993170977
24,174.1825,3.448671426179266
25,28.88,3.8654666031213285
26,189.525,2.897188932891974
27,57.76,9.85372365722353
28,28.88,4.457198305518316
29,175.085,9.67266971986717
30,28.88,6.94224072932228
31,132.6675,2.452136127298613
32,276.16499999999996,2.449645498059996
33,759.905,3.1460226439199404
34,131.765,2.585175214865548
35,28.88,3.6403291241321853
36,28.88,3.866961854503434
37,219.3075,4.020088146473568
38,131.765,3.1905382416189996
39,57.76,3.137142877669998
40,73.10249999999999,2.666772965590792
41,189.525,3.261075934139119
42,129.96,3.1724288211250395
43,219.3075,2.896903129852631
44,14.44,4.699680824271254
45,306.84999999999997,4.810190863715246
46,279.775,6.765941062943025
47,159.7425,2.3272901566072486
48,146.20499999999998,3.061736791579216
49,14.44,10.636824481829068
50,28.88,4.690470936206934
51,28.88,3.9107300624658143
52,175.085,2.227839710735727
53,131.765,6.988495686241875
54,44.2225,4.027590391873992
55,57.76,5.289905240612209
56,219.3075,2.9901656538469923
57,57.76,2.9932836831382703
58,57.76,3.0050712575585234
59,101.9825,2.745753563938251
60,1654.2825,9.220081848387165
61,14.44,4.30120147349569
62,510.815,8.094862178180371
63,28.88,5.282634969552502
64,14.44,6.869650100542677
65,381.7575,4.079220668672242
66,381.7575,3.172186403344068
67,43.32,4.415022896950926
68,43.32,4.297373164998144
69,305.9475,4.675337716527544
70,14.44,6.472617919470497
71,422.37,6.005643530518825
72,579.405,6.114851675731574
73,28.88,10.089633927611954
74,44.2225,5.15426763083
75,73.10249999999999,3.999807177277255
76,14.44,4.116031502989331
77,129.96,3.497423859862591
78,86.64,4.765103235158769
79,28.88,3.275005677831501
80,453.055,3.6416034015695176
81,14.44,8.212218192397813
82,761.7099999999999,6.173403185733649
83,57.76,2.7547596134129826
84,14.44,4.783509974611044
85,43.32,3.387486308294336
86,523.4499999999999,3.1658384044154912
87,86.64,3.834392883129902
88,44.2225,3.6308589530416997
89,962.0649999999999,5.930942190206686
90,116.4225,9.230801883891642
91,277.0675,2.124962234167793
92,43.32,4.610916951506446
93,28.88,4.12051179391825
94,14.44,5.916704664852536
95,615.505,3.098087114883975
96,44.2225,3.6666698197146785
97,86.64,3.387597767748674
98,1092.0249999999999,7.161264347398132
99,14.44,5.9686564316238115
100,59.565,8.862370696219436
101,236.45499999999998,2.569036227024177
102,116.4225,4.067838596205239
103,57.76,2.919882686581602
104,73.10249999999999,5.6002384163546886
105,14.44,5.55446982774203
106,59.565,6.549900636376072
107,73.10249999999999,2.783047129430533
108,116.4225,5.555999476655941
109,44.2225,4.460390093036053
110,144.4,4.5251919784741235
111,379.05,4.6374586297806895
112,758.1,4.516781040298335
113,232.845,6.588756257506548
114,146.20499999999998,2.607734744982845
115,28.88,4.409993314754845
116,28.88,6.336346924043349
117,57.76,2.5928847480854733
118,14.44,6.401775278571183
119,14.44,5.6213970975793925
120,116.4225,5.7090777446681935
121,73.10249999999999,5.659988274529625
122,86.64,3.774904491766056
123,28.88,5.176323194346645
124,57.76,3.1337915736363864
125,14.44,5.359775211007762
126,132.6675,4.447550363669896
127,57.76,2.895643674206853
128,860.0825,3.121861475273241
129,116.4225,2.7115305842891075
130,28.88,3.9276855837966322
131,28.88,2.0056495066933366
132,351.0725,2.610371869936664
133,43.32,5.929034195554011
134,44.2225,7.9146550927570685
135,88.445,2.5847314899219422
136,57.76,2.487010154791206
137,28.88,2.906303103370895
138,263.53,6.147967704652589
139,28.88,3.419776770273508
140,175.085,3.8566839181497006
141,28.88,5.807766555365206
142,759.0024999999999,3.899735666918169
143,408.8325,3.3833454620292644
144,161.54749999999999,5.703222270331519
